City,State,County,Start_Population,End_Population,Total_Growth_Pct,CAGR_Pct,Years_Analyzed
Tampa,FL,Hillsborough County,1378883,1422278,3.1471125541470886,3.14711255414708,1
Glendale,AZ,Maricopa County,4253913,4328810,1.7606613017238482,1.7606613017238537,1
Brooklyn,NY,Kings County,2600747,2589974,-0.4142271432015494,-0.41422714320155096,1
